Gobernacion,CodificadoNoviembre_11_30_23_23,DevengadoNoviembre_11_30_23_23,Cod,Codi,Ejec,Eject,id
Santa Elena,"980299,51","781059,52","0,980299532","0,980000019","79,67559814","79,68000031",24
Azuay,"2403784,18","1929163,52","2,403784275","2,400000095","80,25527191","80,26000214",1
Napo,"1218914,3","997921,49","1,21891427","1,220000029","81,86969757","81,87000275",15
Carchi,"1365141,4","1132920,27","1,365141392","1,370000005","82,98922729","82,98999786",4
Zamora Chinchipe,"1289558,02","1077395,92","1,289558053","1,289999962","83,54769135","83,55000305",19
Imbabura,"1554339,4","1300877,77","1,554339409","1,549999952","83,69329071","83,69000244",10
Pastaza,"794214,49","665068,58","0,794214487","0,790000021","83,73916626","83,73999786",16
Tungurahua,"1898874,57","1590338,69","1,898874521","1,899999976","83,75164795","83,75",18
Esmeraldas,"1928860,28","1618648,21","1,928860307","1,929999948","83,91733551","83,91999817",8
El Oro,"2146518,8","1810378,91","2,146518707","2,150000095","84,34023285","84,33999634",7
Cañar,"1236036,77","1045387,56","1,236036777","1,24000001","84,57576752","84,58000183",3
Guayas,"3931462,82","3345406,58","3,931462765","3,930000067","85,0931778","85,08999634",9
Sucumbíos,"1233970,33","1050621,91","1,233970284","1,230000019","85,1415863","85,13999939",21
Chimborazo,"2005273,81","1712866,12","2,005273819","2,00999999","85,41806793","85,41999817",6
Loja,"2718145,27","2325579,28","2,71814537","2,720000029","85,55757904","85,55999756",11
Orellana,"1340957,19","1149349,28","1,340957165","1,340000033","85,71110535","85,70999908",22
Cotopaxi,"1522646,19","1311340,62","1,522646189","1,519999981","86,12247467","86,12000275",5
Morona Santiago,"1706077,13","1471128,91","1,706077099","1,710000038","86,22874451","86,23000336",14
Los Ríos,1333731,"1152142,37","1,333731055","1,330000043","86,38491058","86,37999725",12
Bolívar,"1256130,21","1104960,07","1,256130219","1,25999999","87,96540833","87,97000122",2
Manabí,"3277226,58","2884433,45","3,277226686","3,279999971","88,01446533","88,01000214",13
Santo Domingo,"1273873,49","1122044,47","1,273873448","1,269999981","88,08131409","88,08000183",23
