Gobernacion,Ejecución
Santa Elena,0.7967560036829968
Azuay,0.8025527150278524
Napo,0.8186970076567318
Carchi,0.8298922514546846
Zamora Chinchipe,0.8354768868794286
Imbabura,0.8369328925201279
Pastaza,0.837391647185888
Tungurahua,0.8375164505994727
Esmeraldas,0.8391733848135439
El Oro,0.8434023079602192
Cañar,0.8457576549280165
Guayas,0.850931760814668
Sucumbíos,0.8514158602176438
Chimborazo,0.854180666728999
Loja,0.8555757875295604
Orellana,0.8571110909215529
Cotopaxi,0.8612247734320999
Morona Santiago,0.8622874570741125
Los Ríos,0.8638491344956367
Bolívar,0.8796540845872978
Manabí,0.8801446526776309
Santo Domingo,0.8808131096283353
